"Story","Title","Result","Date","Stability","Duration (s)"
"Create New Cart","Create new cart with products","SUCCESS","2022-10-23T11:13:46.9235994+07:00[Asia/Jakarta]","0.0","13.35"
"Create New Cart","Create new cart with no product","SUCCESS","2022-10-23T11:14:00.2981608+07:00[Asia/Jakarta]","0.0","3.51"
"Create New Cart","Create new cart with no data","SUCCESS","2022-10-23T11:14:03.8234609+07:00[Asia/Jakarta]","0.0","4.12"
"Delete Cart","Delete cart with valid id","SUCCESS","2022-10-23T11:13:46.6434402+07:00[Asia/Jakarta]","0.0","12.43"
"Delete Cart","Get a cart with invalid id number","SUCCESS","2022-10-23T11:13:59.1772987+07:00[Asia/Jakarta]","0.0","3.56"
"Get A Cart","Get a cart with valid id number","SUCCESS","2022-10-23T11:13:46.9510053+07:00[Asia/Jakarta]","0.0","13.4"
"Get A Cart","Get a cart with invalid id number","SUCCESS","2022-10-23T11:14:00.3815841+07:00[Asia/Jakarta]","0.0","3.21"
"Get All Carts","Get All Carts","SUCCESS","2022-10-23T11:13:46.7830702+07:00[Asia/Jakarta]","0.0","12.68"
"Get All Carts In Date Range","Get All Carts with Invalid Date Range","SUCCESS","2022-10-23T11:13:59.3589926+07:00[Asia/Jakarta]","0.0","3.53"
"Limit Cart Results","Limit results with number","SUCCESS","2022-10-23T11:13:46.6881966+07:00[Asia/Jakarta]","0.0","12.39"
"Sort Cart Result","Sort cart Descending","SUCCESS","2022-10-23T11:13:46.6244463+07:00[Asia/Jakarta]","0.0","12.39"
"Sort Cart Result","Sort cart Ascending","SUCCESS","2022-10-23T11:13:59.2763738+07:00[Asia/Jakarta]","0.0","3.89"
"Update cart","Renew valid id with product","SUCCESS","2022-10-23T11:13:46.6578719+07:00[Asia/Jakarta]","0.0","11.98"
"Update cart","Renew valid id with no product","SUCCESS","2022-10-23T11:13:58.6525222+07:00[Asia/Jakarta]","0.0","3.4"
"Update cart","Renew invalid id with product","SUCCESS","2022-10-23T11:14:06.2828325+07:00[Asia/Jakarta]","0.0","3.6"
"Login","Login with valid username and valid password","SUCCESS","2022-10-23T11:13:46.8035457+07:00[Asia/Jakarta]","0.0","111.39"
"Login","Login with valid username and invalid password","SUCCESS","2022-10-23T11:15:38.2100316+07:00[Asia/Jakarta]","0.0","102.9"
"Login","Login with valid username and null password","SUCCESS","2022-10-23T11:17:21.1328257+07:00[Asia/Jakarta]","0.0","102.8"
"Login","Login with null username and null password","SUCCESS","2022-10-23T11:19:03.9540715+07:00[Asia/Jakarta]","0.0","104.75"
"Login","Login with invalid username and password","SUCCESS","2022-10-23T11:20:48.7244993+07:00[Asia/Jakarta]","0.0","103.1"
"Add New User","Add new user with valid username and password","SUCCESS","2022-10-23T11:13:46.6735106+07:00[Asia/Jakarta]","0.0","13.6"
"Delete User","Delete user with valid id","SUCCESS","2022-10-23T11:13:46.9660977+07:00[Asia/Jakarta]","0.0","12.11"
"Delete User","Get a user with invalid id number","SUCCESS","2022-10-23T11:13:59.4773165+07:00[Asia/Jakarta]","0.0","3.26"
"Get A User","Get a user with valid id number","SUCCESS","2022-10-23T11:13:46.9041749+07:00[Asia/Jakarta]","0.0","13.44"
"Get A User","Get a user with invalid id number","SUCCESS","2022-10-23T11:14:00.3644429+07:00[Asia/Jakarta]","0.0","3.25"
"Get All Users","Get All Users","SUCCESS","2022-10-23T11:13:46.8221788+07:00[Asia/Jakarta]","0.0","12.22"
"Limit User Results","Limit results with number","SUCCESS","2022-10-23T11:13:46.2479126+07:00[Asia/Jakarta]","0.0","12.86"
"Sort User Result","Sort User Descending","SUCCESS","2022-10-23T11:13:46.8523178+07:00[Asia/Jakarta]","0.0","12.16"
"Sort User Result","Sort User Ascending","SUCCESS","2022-10-23T11:13:59.0289454+07:00[Asia/Jakarta]","0.0","5.94"
"Update User","Update valid id with valid data","SUCCESS","2022-10-23T11:13:46.8780865+07:00[Asia/Jakarta]","0.0","11.65"
"Update User","Update invalid id with valid data","SUCCESS","2022-10-23T11:14:01.8165684+07:00[Asia/Jakarta]","0.0","4.68"
"Update User","Update invalid id with null data","SUCCESS","2022-10-23T11:14:06.5083539+07:00[Asia/Jakarta]","0.0","3.37"
