"Story","Title","Result","Date","Stability","Duration (s)"
"Add New User","Add new user with valid username and password","SUCCESS","2022-10-23T11:13:46.6735106+07:00[Asia/Jakarta]","0.0","13.6"
"Delete User","Delete user with valid id","SUCCESS","2022-10-23T11:13:46.9660977+07:00[Asia/Jakarta]","0.0","12.11"
"Delete User","Get a user with invalid id number","SUCCESS","2022-10-23T11:13:59.4773165+07:00[Asia/Jakarta]","0.0","3.26"
"Get A User","Get a user with valid id number","SUCCESS","2022-10-23T11:13:46.9041749+07:00[Asia/Jakarta]","0.0","13.44"
"Get A User","Get a user with invalid id number","SUCCESS","2022-10-23T11:14:00.3644429+07:00[Asia/Jakarta]","0.0","3.25"
"Get All Users","Get All Users","SUCCESS","2022-10-23T11:13:46.8221788+07:00[Asia/Jakarta]","0.0","12.22"
"Limit User Results","Limit results with number","SUCCESS","2022-10-23T11:13:46.2479126+07:00[Asia/Jakarta]","0.0","12.86"
"Sort User Result","Sort User Descending","SUCCESS","2022-10-23T11:13:46.8523178+07:00[Asia/Jakarta]","0.0","12.16"
"Sort User Result","Sort User Ascending","SUCCESS","2022-10-23T11:13:59.0289454+07:00[Asia/Jakarta]","0.0","5.94"
"Update User","Update valid id with valid data","SUCCESS","2022-10-23T11:13:46.8780865+07:00[Asia/Jakarta]","0.0","11.65"
"Update User","Update invalid id with valid data","SUCCESS","2022-10-23T11:14:01.8165684+07:00[Asia/Jakarta]","0.0","4.68"
"Update User","Update invalid id with null data","SUCCESS","2022-10-23T11:14:06.5083539+07:00[Asia/Jakarta]","0.0","3.37"
