"Story","Title","Result","Date","Stability","Duration (s)"
"Create New Cart","Create new cart with products","SUCCESS","2022-10-23T11:13:46.9235994+07:00[Asia/Jakarta]","0.0","13.35"
"Create New Cart","Create new cart with no product","SUCCESS","2022-10-23T11:14:00.2981608+07:00[Asia/Jakarta]","0.0","3.51"
"Create New Cart","Create new cart with no data","SUCCESS","2022-10-23T11:14:03.8234609+07:00[Asia/Jakarta]","0.0","4.12"
"Delete Cart","Delete cart with valid id","SUCCESS","2022-10-23T11:13:46.6434402+07:00[Asia/Jakarta]","0.0","12.43"
"Delete Cart","Get a cart with invalid id number","SUCCESS","2022-10-23T11:13:59.1772987+07:00[Asia/Jakarta]","0.0","3.56"
"Get A Cart","Get a cart with valid id number","SUCCESS","2022-10-23T11:13:46.9510053+07:00[Asia/Jakarta]","0.0","13.4"
"Get A Cart","Get a cart with invalid id number","SUCCESS","2022-10-23T11:14:00.3815841+07:00[Asia/Jakarta]","0.0","3.21"
"Get All Carts","Get All Carts","SUCCESS","2022-10-23T11:13:46.7830702+07:00[Asia/Jakarta]","0.0","12.68"
"Get All Carts In Date Range","Get All Carts with Invalid Date Range","SUCCESS","2022-10-23T11:13:59.3589926+07:00[Asia/Jakarta]","0.0","3.53"
"Limit Cart Results","Limit results with number","SUCCESS","2022-10-23T11:13:46.6881966+07:00[Asia/Jakarta]","0.0","12.39"
"Sort Cart Result","Sort cart Descending","SUCCESS","2022-10-23T11:13:46.6244463+07:00[Asia/Jakarta]","0.0","12.39"
"Sort Cart Result","Sort cart Ascending","SUCCESS","2022-10-23T11:13:59.2763738+07:00[Asia/Jakarta]","0.0","3.89"
"Update cart","Renew valid id with product","SUCCESS","2022-10-23T11:13:46.6578719+07:00[Asia/Jakarta]","0.0","11.98"
"Update cart","Renew valid id with no product","SUCCESS","2022-10-23T11:13:58.6525222+07:00[Asia/Jakarta]","0.0","3.4"
"Update cart","Renew invalid id with product","SUCCESS","2022-10-23T11:14:06.2828325+07:00[Asia/Jakarta]","0.0","3.6"
